Non Manufacturers,,,,,Latest,Latest,Latest,Total,,Total,,Retained,Total Equity,,Latest,Latest,Previous,,Latest,Latest,Previous,,Latest,Latest,,,,,,,Working Cap/,Ret. Earnings/,EBIT/,Book Value of Equity/,,,,,,,
HSIC,HENRY SCHEIN INC,Trade,Wholesale, 4.29 , Low ,2020-03-28,1,2020," 3,619.1 "," 7,519.2 "," 2,205.8 "," 3,641.3 "," 3,183.2 "," 2,974.6 "," 1,413.3 "," 9,985.8 "," 2,428.9 "," 2,360.3 "," 10,054.4 ", 718.3 , 173.9 , 172.4 , 719.7 , 143.1 ,68.65," 9,823.47 "," 3,606 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.188 , 0.423 , 0.096 , 0.990 , 1.23 , 1.38 , 0.64 , 1.03 , 4.29 , Low 
TSCO,TRACTOR SUPPLY CO /DE/,Trade,Retail, 4.21 , Low ,2020-03-28,1,2020," 2,480.2 "," 6,002.4 "," 1,494.1 "," 4,648.7 "," 3,655.8 "," 1,353.7 ", 986.1 ," 8,351.9 "," 1,959.2 "," 1,822.2 "," 8,488.9 ", 743.2 , 112.5 , 103.4 , 752.4 , 117.4 ,143.42," 16,842.10 "," 1,354 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.164 , 0.609 , 0.125 , 0.291 , 1.08 , 1.99 , 0.84 , 0.30 , 4.21 , Low 
PSA,PUBLIC STORAGE,Financial,REITs, 4.20 , Low ,2020-03-31,1,2020, 718.4 ," 11,825.9 ", 357.0 ," 2,795.7 ", (701.2)," 9,013.1 ", 361.4 ," 2,846.8 ", 716.1 , 689.0 ," 2,873.9 "," 1,465.1 ", 340.2 , 343.4 ," 1,462.0 ", 174.6 ,197.71," 34,523.33 "," 9,030 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.031 , (0.059), 0.124 , 3.230 , 0.20 , (0.19), 0.83 , 3.36 , 4.20 , Low 
ACN,ACCENTURE PLC,Services,Business Services, 4.15 , Low ,2020-05-31,3,2020," 16,146.2 "," 35,057.3 "," 11,828.3 "," 18,573.7 "," 12,565.9 "," 16,014.6 "," 4,318.0 "," 43,215.0 "," 33,491.8 "," 32,159.4 "," 44,547.4 "," 6,305.1 "," 4,968.9 "," 4,733.6 "," 6,540.4 ", 648.0 ,223.98," 145,144.79 "," 16,484 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.123 , 0.358 , 0.187 , 0.887 , 0.81 , 1.17 , 1.25 , 0.92 , 4.15 , Low 
HUM,HUMANA INC,Financial,Insurance, 4.06 , Low ,2018-03-31,1,2018," 23,932.0 "," 33,453.0 "," 15,455.0 "," 23,372.0 "," 14,086.0 "," 10,081.0 "," 8,477.0 "," 53,362.0 "," 14,138.0 "," 13,651.0 "," 53,849.0 "," 3,857.0 ", 619.0 ," 1,627.0 "," 2,849.0 ", 138.8 ,398.54," 55,329.31 "," 10,081 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.253 , 0.421 , 0.085 , 0.431 , 1.66 , 1.37 , 0.57 , 0.45 , 4.06 , Low 
CVX,CHEVRON CORP,Resources,Energy, 4.05 , Low ,2020-03-31,1,2020," 28,562.0 "," 236,677.0 "," 28,235.0 "," 91,763.0 "," 176,113.0 "," 143,930.0 ", 327.0 ," 139,865.0 "," 29,705.0 "," 34,189.0 "," 135,381.0 ", (317.0)," 2,511.0 "," 3,171.0 ", (977.0)," 1,865.6 ",86.27," 160,949.54 "," 144,914 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.001 , 0.744 , (0.004), 1.579 , 0.01 , 2.43 , (0.03), 1.64 , 4.05 , Low 
IBM,INTERNATIONAL BUSINESS MACHINES CORP,Services,Technology Services, 4.04 , Low ,2020-06-30,2,2020," 39,953.0 "," 154,200.0 "," 38,442.0 "," 133,512.0 "," 162,559.0 "," 20,551.0 "," 1,511.0 "," 77,147.0 "," 35,694.0 "," 37,342.0 "," 75,499.0 "," 10,542.0 "," 2,532.0 "," 4,388.0 "," 8,686.0 ", 895.0 ,122.9," 109,994.17 "," 20,688 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.010 , 1.054 , 0.056 , 0.155 , 0.06 , 3.44 , 0.38 , 0.16 , 4.04 , Low 
COP,CONOCOPHILLIPS,Resources,Energy, 4.00 , Low ,2020-03-31,1,2020," 13,144.0 "," 65,033.0 "," 6,075.0 "," 33,646.0 "," 37,545.0 "," 31,315.0 "," 7,069.0 "," 32,567.0 "," 6,158.0 "," 9,150.0 "," 29,575.0 "," 6,330.0 ", (110.0)," 2,033.0 "," 4,187.0 "," 1,084.6 ",37.64," 40,822.88 "," 31,387 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.109 , 0.577 , 0.064 , 0.933 , 0.71 , 1.88 , 0.43 , 0.97 , 4.00 , Low 
CBOE,"CBOE GLOBAL MARKETS, INC.",Financial,Financial Services, 3.89 , Low ,2020-06-30,2,2020, 781.2 ," 5,366.3 ", 496.5 ," 2,080.0 "," 1,703.7 "," 3,286.3 ", 284.7 ," 2,496.1 "," 1,790.2 "," 1,222.1 "," 3,064.2 ", 585.7 , 398.3 , 293.7 , 690.3 , 110.1 ,0, -   ," 3,286 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.053 , 0.317 , 0.129 , 1.580 , 0.35 , 1.03 , 0.86 , 1.64 , 3.89 , Low 
CTXS,CITRIX SYSTEMS INC,Services,Technology Services, 3.97 , Low ,2020-06-30,2,2020," 1,686.0 "," 4,548.1 "," 1,992.5 "," 4,641.7 "," 4,863.5 ", (93.6), (306.6)," 3,010.6 "," 1,659.9 "," 1,467.8 "," 3,202.6 ", 536.1 , 345.2 , 239.9 , 641.4 , 126.7 ,141.69," 17,946.31 ", (94), 6.56 , 3.26 , 6.72 , 1.04 , (0.067), 1.069 , 0.141 , (0.020), (0.44), 3.49 , 0.95 , (0.02), 3.97 , Low 
DGX,QUEST DIAGNOSTICS INC,Services,Healthcare Services, 3.81 , Low ,2020-06-30,2,2020," 2,380.0 "," 12,990.0 "," 1,843.0 "," 7,032.0 "," 8,307.0 "," 5,831.0 ", 537.0 ," 7,726.0 "," 3,649.0 "," 3,844.0 "," 7,531.0 "," 1,231.0 ", 458.0 , 555.0 ," 1,134.0 ", 135.0 ,126.76," 17,112.60 "," 5,881 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.041 , 0.639 , 0.087 , 0.836 , 0.27 , 2.08 , 0.59 , 0.87 , 3.81 , Low 
PWR,"QUANTA SERVICES, INC.",Services,Business Services, 3.78 , Low ,2020-03-31,1,2020," 3,758.6 "," 8,228.9 "," 2,115.9 "," 4,433.8 "," 2,881.4 "," 3,790.5 "," 1,642.7 "," 12,112.2 "," 2,764.1 "," 2,807.3 "," 12,069.0 ", 568.3 , 83.5 , 119.4 , 532.4 , 146.8 ,40.12," 5,889.09 "," 3,795 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.200 , 0.350 , 0.065 , 0.856 , 1.31 , 1.14 , 0.43 , 0.89 , 3.78 , Low 
UNP,UNION PACIFIC CORP,Services,Transportation, 3.76 , Low ,2020-06-30,2,2020," 5,083.0 "," 63,555.0 "," 5,279.0 "," 47,103.0 "," 49,892.0 "," 16,452.0 ", (196.0)," 21,708.0 "," 9,473.0 "," 10,980.0 "," 20,201.0 "," 8,554.0 "," 3,797.0 "," 4,220.0 "," 8,131.0 ", 682.7 ,172.8," 117,970.56 "," 16,452 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.003), 0.785 , 0.128 , 0.349 , (0.02), 2.56 , 0.86 , 0.36 , 3.76 , Low 
ULTA,"ULTA BEAUTY, INC.",Trade,Retail, 3.68 , Low ,2020-05-02,1,2021," 2,728.8 "," 5,530.6 "," 1,096.2 "," 3,776.6 ", 977.0 ," 1,754.0 "," 1,632.6 "," 7,398.1 "," 1,173.2 "," 1,743.0 "," 6,828.2 ", 901.1 , (101.5), 237.5 , 562.1 , 56.4 ,198.61," 11,205.38 "," 1,754 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.295 , 0.177 , 0.102 , 0.464 , 1.94 , 0.58 , 0.68 , 0.48 , 3.68 , Low 
SYY,SYSCO CORP,Trade,Wholesale, 3.63 , Low ,2020-03-28,3,2020," 9,857.8 "," 20,432.3 "," 6,625.0 "," 18,371.9 "," 11,407.0 "," 2,028.9 "," 3,232.8 "," 60,113.9 "," 44,026.7 "," 44,639.1 "," 59,501.6 "," 2,330.2 "," 1,281.1 "," 1,609.6 "," 2,001.6 ", 515.6 ,53.59," 27,632.76 "," 2,029 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.158 , 0.558 , 0.098 , 0.110 , 1.04 , 1.82 , 0.66 , 0.11 , 3.63 , Low 
EOG,EOG RESOURCES INC,Resources,Energy, 3.61 , Low ,2020-03-31,1,2020," 6,491.0 "," 37,634.1 "," 4,305.0 "," 16,163.4 "," 15,440.1 "," 21,470.7 "," 2,186.0 "," 17,380.0 "," 4,717.7 "," 4,058.6 "," 18,039.0 "," 3,699.0 ", 57.6 , 876.5 ," 2,880.1 ", 580.3 ,46.58," 27,029.58 "," 21,471 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.058 , 0.410 , 0.077 , 1.328 , 0.38 , 1.34 , 0.51 , 1.38 , 3.61 , Low 
FMC,FMC CORP,Resources,Chemicals, 3.60 , Low ,2020-03-31,1,2020," 4,472.0 "," 10,189.2 "," 2,456.5 "," 7,486.5 "," 4,337.9 "," 2,675.4 "," 2,015.5 "," 4,609.8 "," 1,250.0 "," 1,192.1 "," 4,667.7 ", 813.5 , 291.4 , 281.8 , 823.1 , 130.5 ,105.33," 13,741.98 "," 2,703 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.198 , 0.426 , 0.081 , 0.361 , 1.30 , 1.39 , 0.54 , 0.38 , 3.60 , Low 
FOX,FOX CORP,0,0, 3.60 , Low ,2020-03-31,3,2020," 6,744.0 "," 20,237.0 "," 1,780.0 "," 9,846.0 ", 589.0 ," 10,114.0 "," 4,964.0 "," 11,389.0 "," 9,885.0 "," 8,876.0 "," 12,398.0 "," 2,405.0 "," 1,845.0 "," 1,777.0 "," 2,473.0 ", 619.0 ,25.88," 16,019.72 "," 10,133 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.245 , 0.029 , 0.122 , 1.029 , 1.61 , 0.09 , 0.82 , 1.07 , 3.60 , Low 
CE,CELANESE CORP,Resources,Chemicals, 3.54 , Low ,2020-06-30,2,2020," 2,709.0 "," 9,506.0 "," 2,262.0 "," 6,637.0 "," 6,576.0 "," 2,487.0 ", 447.0 ," 6,297.0 "," 2,653.0 "," 3,279.0 "," 5,671.0 "," 1,012.0 ", 360.0 , 627.0 , 745.0 , 119.4 ,97.59," 11,650.05 "," 2,869 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.047 , 0.692 , 0.078 , 0.432 , 0.31 , 2.26 , 0.53 , 0.45 , 3.54 , Low 
COG,CABOT OIL & GAS CORP,Resources,Energy, 3.52 , Low ,2020-03-31,1,2020, 541.8 ," 4,522.2 ", 387.2 ," 2,353.8 "," 2,157.3 "," 2,168.4 ", 154.6 ," 1,985.5 ", 370.4 , 633.4 ," 1,722.4 ", 795.9 , 70.3 , 342.5 , 523.7 , 399.9 ,18.14," 7,254.13 "," 2,168 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.034 , 0.477 , 0.116 , 0.921 , 0.22 , 1.56 , 0.78 , 0.96 , 3.52 , Low 
HFC,HOLLYFRONTIER CORP,Resources,Energy, 3.50 , Low ,2020-03-31,1,2020," 2,509.1 "," 11,221.8 "," 1,308.9 "," 5,111.3 "," 4,382.2 "," 5,594.2 "," 1,200.3 "," 17,486.6 "," 3,400.5 "," 3,897.2 "," 16,989.9 "," 1,277.0 ", (410.3), 389.3 , 477.4 , 161.9 ,26.79," 4,336.58 "," 6,110 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.107 , 0.391 , 0.043 , 1.195 , 0.70 , 1.27 , 0.29 , 1.24 , 3.50 , Low 
ECL,ECOLAB INC.,Services,Business Services, 3.42 , Low ,2020-03-31,1,2020," 6,437.1 "," 22,339.6 "," 4,257.4 "," 13,479.0 "," 10,136.9 "," 8,822.1 "," 2,179.7 "," 14,906.3 "," 3,581.4 "," 3,505.4 "," 14,982.3 "," 2,013.8 ", 397.2 , 367.2 ," 2,043.8 ", 292.6 ,191.05," 55,901.23 "," 8,861 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.098 , 0.454 , 0.091 , 0.657 , 0.64 , 1.48 , 0.61 , 0.68 , 3.42 , Low 
ADM,ARCHER-DANIELS-MIDLAND CO,Resources,Agricultural, 3.82 , Low ,2020-06-30,2,2020," 22,011.0 "," 44,341.0 "," 12,809.0 "," 24,945.0 "," 19,293.0 "," 19,293.0 "," 9,202.0 "," 64,656.0 "," 31,251.0 "," 31,601.0 "," 64,306.0 "," 1,351.0 ", 700.0 , 492.0 ," 1,559.0 ", 563.0 ,43.36," 24,411.68 "," 19,311 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.208 , 0.435 , 0.035 , 0.774 , 1.36 , 1.42 , 0.24 , 0.81 , 3.82 , Low 
V,VISA INC.,Financial,Financial Services, 3.48 , Low ,2020-06-30,3,2020," 25,011.0 "," 77,884.0 "," 16,100.0 "," 42,360.0 "," 14,072.0 "," 35,524.0 "," 8,911.0 "," 22,977.0 "," 16,745.0 "," 16,840.0 "," 22,882.0 "," 15,001.0 "," 10,939.0 "," 11,266.0 "," 14,674.0 "," 2,227.0 ",194.06," 432,171.62 "," 35,524 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.114 , 0.181 , 0.188 , 0.839 , 0.75 , 0.59 , 1.27 , 0.87 , 3.48 , Low 
EMN,EASTMAN CHEMICAL CO,Resources,Chemicals, 3.33 , Low ,2020-03-31,1,2020," 3,851.0 "," 16,465.0 "," 2,315.0 "," 10,273.0 "," 8,133.0 "," 6,117.0 "," 1,536.0 "," 9,273.0 "," 2,241.0 "," 2,380.0 "," 9,134.0 "," 1,123.0 ", 372.0 , 318.0 ," 1,177.0 ", 136.5 ,74.94," 10,229.31 "," 6,192 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.093 , 0.494 , 0.071 , 0.603 , 0.61 , 1.61 , 0.48 , 0.63 , 3.33 , Low 
VLO,VALERO ENERGY CORP/TX,Resources,Energy, 3.81 , Low ,2020-06-30,2,2020," 12,762.0 "," 49,099.0 "," 7,300.0 "," 28,465.0 "," 30,575.0 "," 19,847.0 "," 5,462.0 "," 108,324.0 "," 32,499.0 "," 53,196.0 "," 87,627.0 "," 3,836.0 ", (488.0)," 1,216.0 "," 2,132.0 ", 407.0 ,56.33," 22,926.31 "," 20,634 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.111 , 0.623 , 0.043 , 0.725 , 0.73 , 2.03 , 0.29 , 0.75 , 3.81 , Low 
J,JACOBS ENGINEERING GROUP INC /DE/,Services,Business Services, 3.25 , Low ,2020-03-27,2,2020," 5,166.9 "," 13,134.6 "," 2,624.9 "," 7,521.6 "," 3,808.7 "," 5,561.8 "," 2,542.0 "," 12,737.9 "," 6,787.2 "," 6,175.4 "," 13,349.7 ", 404.9 , 319.1 , 215.8 , 508.2 , 134.1 ,85.38," 11,448.60 "," 5,613 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.194 , 0.290 , 0.039 , 0.746 , 1.27 , 0.95 , 0.26 , 0.78 , 3.25 , Low 
LUV,SOUTHWEST AIRLINES CO,Services,Transportation, 3.25 , Low ,2020-06-30,2,2020," 15,872.0 "," 35,596.0 "," 9,361.0 "," 24,718.0 "," 16,842.0 "," 10,878.0 "," 6,511.0 "," 22,428.0 "," 5,242.0 "," 11,059.0 "," 16,611.0 "," 2,957.0 "," (1,237.0)"," 1,473.0 ", 247.0 , 539.0 ,30.96," 16,687.44 "," 10,878 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.183 , 0.473 , 0.007 , 0.440 , 1.20 , 1.54 , 0.05 , 0.46 , 3.25 , Low 
CMG,CHIPOTLE MEXICAN GRILL INC,Services,Hospitality, 3.21 , Low ,2020-06-30,2,2020," 1,150.3 "," 5,370.1 ", 723.2 ," 3,665.6 "," 3,005.0 "," 1,704.5 ", 427.2 ," 5,586.4 "," 2,775.5 "," 2,742.4 "," 5,619.4 ", 467.1 , 80.9 , 241.6 , 306.3 , 28.3 ,1148.4," 32,531.88 "," 1,704 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.080 , 0.560 , 0.057 , 0.465 , 0.52 , 1.82 , 0.38 , 0.48 , 3.21 , Low 
MRO,MARATHON OIL CORP,Resources,Energy, 3.16 , Low ,2020-03-31,1,2020," 1,909.0 "," 19,715.0 "," 1,442.0 "," 7,757.0 "," 7,895.0 "," 11,958.0 ", 467.0 ," 5,063.0 "," 1,024.0 "," 1,200.0 "," 4,887.0 ", 574.0 , (184.0), 114.0 , 276.0 , 794.0 ,5.51," 4,374.94 "," 11,958 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.024 , 0.400 , 0.014 , 1.542 , 0.16 , 1.31 , 0.09 , 1.60 , 3.16 , Low 
XRX,XEROX HOLDINGS CORP,Services,Business Services, 3.15 , Low ,2020-06-30,2,2020," 5,391.0 "," 14,125.0 "," 3,791.0 "," 8,430.0 "," 6,223.0 "," 5,477.0 "," 1,600.0 "," 9,066.0 "," 3,325.0 "," 4,443.0 "," 7,948.0 ", 822.0 , 54.0 , 267.0 , 609.0 , 216.0 ,16.32," 3,525.35 "," 5,481 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.113 , 0.441 , 0.043 , 0.650 , 0.74 , 1.44 , 0.29 , 0.68 , 3.15 , Low 
ROP,ROPER TECHNOLOGIES INC,Services,Technology Services, 3.13 , Low ,2020-03-31,1,2020," 2,273.4 "," 18,137.8 "," 2,366.1 "," 8,546.5 "," 8,003.1 "," 9,591.3 ", (92.7)," 5,366.8 "," 1,350.7 "," 1,287.2 "," 5,430.3 "," 1,498.4 ", 349.2 , 346.4 ," 1,501.2 ", 105.3 ,432.8," 45,573.84 "," 9,591 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.005), 0.441 , 0.083 , 1.122 , (0.03), 1.44 , 0.56 , 1.17 , 3.13 , Low 
AKAM,AKAMAI TECHNOLOGIES INC,Services,Technology Services, 3.11 , Low ,2020-03-31,1,2020," 2,014.6 "," 6,948.0 ", 630.2 ," 3,275.7 ", 171.1 ," 3,672.2 "," 1,384.3 "," 2,893.6 ", 764.3 , 706.5 ," 2,951.4 ", 548.9 , 162.9 , 140.9 , 570.9 , 163.7 ,110.5," 18,087.08 "," 3,672 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.199 , 0.025 , 0.082 , 1.121 , 1.31 , 0.08 , 0.55 , 1.17 , 3.11 , Low 
NEM,NEWMONT CORP /DE/,Resources,Metals & Mining, 3.08 , Low ,2020-06-30,2,2020," 6,684.0 "," 39,885.0 "," 2,378.0 "," 16,914.0 "," 2,989.0 "," 22,004.0 "," 4,306.0 "," 9,740.0 "," 4,946.0 "," 4,060.0 "," 10,626.0 "," 3,667.0 ", 888.0 , 300.0 ," 4,255.0 ", 806.0 ,65.66," 52,921.96 "," 22,928 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.108 , 0.075 , 0.107 , 1.356 , 0.71 , 0.24 , 0.72 , 1.41 , 3.08 , Low 
KSU,KANSAS CITY SOUTHERN,Services,Transportation, 3.07 , Low ,2020-06-30,2,2020," 1,116.2 "," 10,288.1 ", 456.9 ," 5,543.1 "," 3,510.7 "," 4,420.5 ", 659.3 ," 2,866.0 "," 1,279.6 "," 1,388.8 "," 2,756.8 ", 886.3 , 469.2 , 368.3 , 987.2 , 95.5 ,156.69," 14,969.22 "," 4,745 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.064 , 0.341 , 0.096 , 0.856 , 0.42 , 1.11 , 0.64 , 0.89 , 3.07 , Low 
FFIV,"F5 NETWORKS, INC.",Services,Technology Services, 3.04 , Low ,2020-03-31,2,2020," 1,408.7 "," 4,441.0 "," 1,252.0 "," 2,442.8 "," 1,798.0 "," 1,998.2 ", 156.7 ," 2,242.4 "," 1,152.8 "," 1,088.7 "," 2,306.5 ", 518.5 , 206.0 , 301.0 , 423.5 , 61.0 ,135," 8,237.30 "," 1,998 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.035 , 0.405 , 0.095 , 0.818 , 0.23 , 1.32 , 0.64 , 0.85 , 3.04 , Low 
PXD,PIONEER NATURAL RESOURCES CO,Resources,Energy, 3.03 , Low ,2020-03-31,1,2020," 2,069.0 "," 19,051.0 "," 2,080.0 "," 6,840.0 "," 4,223.0 "," 12,211.0 ", (11.0)," 9,671.0 "," 1,804.0 "," 2,435.0 "," 9,040.0 "," 1,923.0 ", 24.0 , 651.0 ," 1,296.0 ", 166.0 ,95.85," 15,911.10 "," 12,211 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.001), 0.222 , 0.068 , 1.785 , (0.00), 0.72 , 0.46 , 1.86 , 3.03 , Low 
PAYX,PAYCHEX INC,Services,Business Services, 2.99 , Low ,2020-05-31,4,2020," 5,464.6 "," 8,550.7 "," 4,426.9 "," 5,769.3 "," 1,431.4 "," 2,781.4 "," 1,037.7 "," 4,040.5 "," 4,040.5 "," 3,772.5 "," 4,040.5 "," 1,460.5 "," 1,460.5 "," 1,371.3 "," 1,460.5 ", 361.0 ,72.35," 26,118.35 "," 2,781 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.121 , 0.167 , 0.171 , 0.482 , 0.80 , 0.55 , 1.15 , 0.50 , 2.99 , Low 
CBRE,"CBRE GROUP, INC.",Financial,Real Estate, 2.98 , Low ,2020-03-31,1,2020," 7,263.6 "," 15,680.3 "," 6,065.4 "," 9,510.7 "," 5,950.3 "," 6,129.3 "," 1,198.2 "," 23,894.1 "," 5,889.2 "," 5,135.5 "," 24,647.7 "," 1,240.1 ", 197.5 , 125.7 ," 1,311.8 ", 339.7 ,43.27," 14,700.46 "," 6,170 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.076 , 0.379 , 0.084 , 0.649 , 0.50 , 1.24 , 0.56 , 0.67 , 2.98 , Low 
ANTM,"ANTHEM, INC.",Financial,Insurance, 2.95 , Low ,2018-03-31,1,2018," 36,974.1 "," 73,300.4 "," 24,755.9 "," 46,288.0 "," 19,241.1 "," 27,012.4 "," 12,218.2 "," 89,061.2 "," 22,342.3 "," 22,319.5 "," 89,084.0 "," 4,007.0 "," 1,788.4 "," 1,543.6 "," 4,251.8 ", 262.8 ,277.19," 72,845.53 "," 27,012 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.167 , 0.262 , 0.058 , 0.584 , 1.09 , 0.86 , 0.39 , 0.61 , 2.95 , Low 
MAS,MASCO CORP /DE/,Trade,Wholesale, 2.60 , Medium ,2020-06-30,2,2020," 3,225.0 "," 5,302.0 "," 2,154.0 "," 5,265.0 ", (223.0), (136.0)," 1,071.0 "," 6,707.0 "," 3,345.0 "," 3,352.0 "," 6,700.0 "," 1,088.0 ", 564.0 , 544.0 ," 1,108.0 ", 268.0 ,57.03," 15,284.04 ", 37 , 6.56 , 3.26 , 6.72 , 1.04 , 0.202 , (0.042), 0.209 , 0.007 , 1.33 , (0.14), 1.40 , 0.01 , 2.60 , Medium 
WM,WASTE MANAGEMENT INC,Utilities,Infrastructure, 2.15 , Medium ,2020-06-30,2,2020," 5,106.0 "," 26,619.0 "," 5,772.0 "," 19,726.0 "," 10,795.0 "," 6,891.0 ", (666.0)," 15,455.0 "," 7,290.0 "," 7,642.0 "," 15,103.0 "," 2,706.0 "," 1,100.0 "," 1,317.0 "," 2,489.0 ", 425.1 ,109.38," 46,497.44 "," 6,893 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.025), 0.406 , 0.094 , 0.349 , (0.16), 1.32 , 0.63 , 0.36 , 2.15 , Medium 
MOS,MOSAIC CO,Resources,Chemicals, 2.89 , Low ,2020-03-31,1,2020," 4,221.1 "," 18,975.5 "," 3,269.0 "," 10,415.6 "," 9,718.7 "," 8,386.2 ", 952.1 ," 8,906.3 "," 1,798.1 "," 1,899.7 "," 8,804.7 ", 367.2 , (66.2), 202.1 , 98.9 , 378.8 ,13.5," 5,113.80 "," 8,560 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.050 , 0.512 , 0.005 , 0.822 , 0.33 , 1.67 , 0.04 , 0.85 , 2.89 , Low 
ROST,"ROSS STORES, INC.",Trade,Retail, 2.84 , Low ,2020-05-02,1,2021," 4,587.9 "," 10,728.0 "," 2,623.6 "," 7,910.7 "," 1,794.6 "," 2,817.4 "," 1,964.3 "," 16,039.1 "," 1,842.7 "," 3,796.6 "," 14,085.1 "," 2,146.2 ", (462.6), 536.7 ," 1,146.8 ", 352.2 ,88.95," 31,328.37 "," 2,817 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.183 , 0.167 , 0.107 , 0.356 , 1.20 , 0.55 , 0.72 , 0.37 , 2.84 , Low 
TJX,TJX COMPANIES INC /DE/,Trade,Retail, 2.82 , Low ,2020-05-02,1,2021," 10,296.2 "," 25,415.2 "," 4,669.5 "," 20,676.0 "," 4,330.6 "," 4,739.2 "," 5,626.7 "," 41,717.0 "," 4,408.9 "," 9,277.6 "," 36,848.3 "," 4,416.2 "," (1,319.5)", 937.3 ," 2,159.4 "," 1,197.8 ",51.6," 61,806.94 "," 4,739 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.221 , 0.170 , 0.085 , 0.229 , 1.45 , 0.56 , 0.57 , 0.24 , 2.82 , Low 
ALB,ALBEMARLE CORP,Resources,Chemicals, 2.79 , Low ,2020-03-31,1,2020," 2,155.2 "," 9,847.6 "," 1,192.9 "," 5,806.1 "," 3,009.7 "," 3,878.0 ", 962.3 ," 3,589.4 ", 738.8 , 832.1 ," 3,496.2 ", 666.1 , 124.0 , 155.2 , 635.0 , 106.5 ,83," 8,840.50 "," 4,042 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.098 , 0.306 , 0.064 , 0.696 , 0.64 , 1.00 , 0.43 , 0.72 , 2.79 , Low 
EFX,EQUIFAX INC,Services,Business Services, 2.73 , Low ,2020-06-30,2,2020," 2,104.9 "," 8,832.8 "," 1,656.4 "," 6,098.5 "," 4,248.0 "," 2,694.1 ", 448.5 ," 3,507.6 "," 1,940.8 "," 1,726.1 "," 3,722.3 ", (335.4), 302.7 , (504.0), 471.3 , 122.7 ,163.43," 20,052.86 "," 2,734 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.051 , 0.481 , 0.053 , 0.448 , 0.33 , 1.57 , 0.36 , 0.47 , 2.73 , Low 
MMC,"MARSH & MCLENNAN COMPANIES, INC.",Financial,Insurance, 3.07 , Low ,2020-06-30,2,2020," 8,097.0 "," 32,169.0 "," 5,928.0 "," 23,777.0 "," 16,060.0 "," 8,226.0 "," 2,169.0 "," 16,652.0 "," 8,840.0 "," 8,420.0 "," 17,072.0 "," 2,677.0 "," 1,955.0 "," 1,618.0 "," 3,014.0 ", 510.0 ,116.71," 59,522.10 "," 8,392 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.067 , 0.499 , 0.094 , 0.353 , 0.44 , 1.63 , 0.63 , 0.37 , 3.07 , Low 
